Date,Station,Zone,TidalAmp_norm,Temp_C,SpCond_uS,Turbidity_ntu,NO3N_ppm,NH4N_ppm,PO4P_ppm,Si_ppm,Chla_ugL,Bacillariophyta,Chlorophyta,Cryptophyta,Phyto_biovolume,Cladocera,Copepoda,Zoop_biomass
2012-05-08,16,HE,1.105485007,16.73,138,20.7,0.210264154,0.112753295,0.036697221,6.537930562,1.558810941,0.636564476,0.000127995,0.002399903,0.639092374,0.074713371,0.725660012,0.807877032
2012-05-08,34,HE,1.104992691,16.82,137,18.4,0.178353517,0.13331058,0.035026139,6.4403825,1.29027865,0.715651348,0.000223991,0.001762891,0.71763823,0.19346105,4.320452323,4.543683231
2012-05-08,44,HE,1.104334777,17.02,157,21.1,0.195862858,0.13331058,0.040037651,6.518396211,1.584885617,0.494163713,0,0,0.494163713,0.647857583,5.868893094,6.516750677
2012-05-08,56,HE,1.092839777,17.92,308,26,0.295758736,0.066880455,0.068338027,6.75348872,1.784474806,0.331197728,0.00042163,0.004427114,0.336046473,0.121212654,16.85793899,17.16414737
2012-05-08,62,LE,1.092110104,19.02,598,33.3,0.329118957,0.014991855,0.0948209,7.148608,4.081519022,0.123882359,9.05E-05,0.107725629,0.231698467,0,25.06772305,25.08193245
2012-05-08,66,LE,1.091323375,18.88,848,30.1,0.227439494,0.022704,0.101418875,7.188346695,4.178191906,0.228628262,0.000808315,0.05828633,0.287722907,0.655086151,61.37012546,62.31087826
2012-05-08,70,NE,1.0905455,19.02,1043,14.6,0.131296961,0.02613968,0.09977032,7.387658627,3.983274122,0.048440275,0.032295417,0.087051013,0.169436092,27.2382927,141.4073738,168.6456665
2012-05-08,74,NE,1.090083022,20.56,1096.333333,13.1,0.119124313,0.039932,0.09977032,7.387658627,3.789981949,0.012460202,0.055612743,0.117133247,0.185206193,5.645855417,114.9128917,120.5587471
2012-05-08,76,NE,1.089471698,20.38,1098,8,0.120057275,0.056848728,0.094821189,7.34771378,2.716328693,0.44224577,0.049084284,0.058175417,0.560642797,22.47557322,41.390982,64.27503124
2012-05-08,84,NE,1.089018194,21.25,1061,7.3,0.115087797,0.057284,0.088214261,7.248032045,2.968819193,0.037268146,0.099478,0.022234392,0.176808572,40.69224684,42.45362476,84.35440313
2012-06-13,16,HE,0.979841783,20.61,175,16.6,0.32215417,0.186706955,0.053362177,7.728854506,2.312990094,0.878649248,0.000307806,0.001556407,0.890843396,2.123979614,17.59852992,19.73482887
2012-06-13,34,HE,0.979705556,20.90555556,165,15.3,0.268298291,0.192730198,0.035202597,7.870212765,1.106212654,0.266176537,0,0,0.266176537,0.122703834,22.50508995,22.6422698
2012-06-13,44,HE,0.979596192,20.6,172,21.5,0.301697795,0.183467485,0.035202597,7.829773153,1.206777441,0.508196065,0.001626174,0,0.514055667,0.078947988,15.18462998,15.2841495
2012-06-13,56,HE,1.023249357,21.28703704,220.3333333,26.9,0.367296463,0.118317288,0.05206601,7.74901762,2.168428214,0.414822815,0.014041264,0.020617345,0.469984229,0.06354517,8.617968702,8.69095391
2012-06-13,62,LE,1.022820075,21.26,417.5,32.8,0.386943124,0.032833599,0.07599084,7.487701128,2.819694414,0.10569473,0.003129978,0.020271177,0.129175461,0.508051852,28.18691709,28.70351503
2012-06-13,66,LE,1.022474417,21.49,682.5,35.8,0.245664644,0.02483539,0.063725206,7.387658627,8.574342844,0.313613585,0.024083503,0.139824086,0.477521173,3.327901345,42.68332535,46.01122669
2012-06-13,70,NE,1.02195327,22.81851852,951.3333333,21,0.052181924,0.009333011,0.066314387,7.36768105,12.8098616,0.059144649,0.148207319,0.497166493,0.704518461,0.602730818,61.99159907,62.59432989
2012-06-13,74,NE,1.021692249,23.61111111,1048,17.9,0.006678292,0.012428218,0.066314387,7.447653205,13.54952562,0.110265168,0.220127068,0.459293363,0.789685599,45.72676231,75.8068028,121.5335651
2012-06-13,76,NE,1.021344496,25.055,1107,13.4,0.007857566,0.009775,0.071490857,7.54785032,10.74375489,0.086495845,0.322785567,0.059225233,0.539140143,15.66507298,72.88075006,88.54582305
2012-06-13,84,NE,1.020911024,24.285,1114.5,7.1,0.008447573,0.0141981,0.074718348,7.6885592,5.81092512,0.071569584,1.109179491,0.217895558,1.406614852,89.82313479,76.99578878,166.8189236
2012-07-12,16,HE,0.905817085,22.65,125,10.6,0.199849367,0.14157573,0.043522322,7.208231504,2.338131291,0.404273436,0.00210379,0.015992951,0.422370177,0.119906642,4.895141613,5.026170897
2012-07-12,34,HE,0.905657649,22.84,125,9.6,0.167597191,0.161945728,0.046616137,7.287873816,1.709601374,0.407788404,0.003215572,0.014255729,0.425421237,0,10.46994441,10.47568376
2012-07-12,44,HE,0.905574801,22.63333333,135.6666667,14.5,0.20231592,0.135057018,0.050482585,7.427644705,1.307342227,0.32277845,0,0.002351905,0.325356866,0.077497616,7.400416771,7.486606201
2012-07-12,56,HE,0.913569253,22.98333333,196.3333333,21.1,0.25564908,0.073313019,0.05898569,7.487701128,1.835307358,0.153189523,9.05E-05,0.009706646,0.162986648,0.022531593,10.56073211,10.61528549
2012-07-12,62,LE,0.914993757,23.24,424.6666667,33.8,0.312830469,0.01702299,0.083697418,7.487701128,4.33882409,0.154785171,0.01872564,0.029392087,0.202902899,0.464745395,10.16327281,10.68746971
2012-07-12,66,LE,0.916727072,23.555,674.5,32.6,0.185189645,0.014450314,0.096039593,7.6885592,6.043362125,0.123945097,0.045962935,0.094344972,0.266881164,0.312104966,15.40376261,15.72221976
2012-07-12,70,NE,0.917602346,25.44666667,957,17.9,0.003838877,0.013593652,0.07906675,7.557895801,6.985795413,0.103370768,0.322260773,0.282340543,0.715749546,8.877210063,14.28388861,23.16109867
2012-07-12,74,NE,0.918482912,27.575,1095.5,9.7,0.003838877,0.009744287,0.075978925,7.628193549,3.37395008,0.09412917,0.02776554,0.303013038,0.426419686,3.642937857,34.25824102,37.90513899
2012-07-12,76,NE,0.919665144,26.63666667,1138.666667,4.7,0.004459424,0.015307424,0.051255789,7.890448032,3.176639066,0.051322511,0.056114971,0.064621378,0.193024409,12.15282925,60.14146762,72.47111656
2012-07-12,84,NE,0.920854841,27.62,1062.5,2.9,0.003838877,0.00675652,0.034237457,8.032383517,3.254118067,0.040981944,0.011758819,0.013779941,0.320148957,162.4847069,64.24809309,226.762486
2012-08-13,16,HE,0.925853808,22.605,119.5,6.5,0.134257523,0.11724156,0.04106391,7.387658627,1.573913478,0.61932539,0.000803528,0.002630773,0.624623296,0.057293629,2.81733515,2.940993138
