Station,FileName,SensorType,DepthBelowSurface_meters,Deployment_start,Deployment_end
CM66,DO_540235,DO_miniDOT,1,6/7/2023,9/26/2023
CM66,20174654,Temp_Onset,1.5,6/7/2023,9/26/2023
CM66,20174618,Temp_Onset,2.5,6/7/2023,9/26/2023
CM66,20868837,Temp_Onset,5,6/7/2023,9/26/2023
CM66,TURB_874404,Turb_PME,1,6/7/2023,9/26/2023
CM74,DO_450377,DO_miniDOT,1,6/7/2023,9/26/2023
CM74,20481361,Temp_Onset,1.5,6/7/2023,9/26/2023
CM74,20174628,Temp_Onset,2.5,6/7/2023,9/26/2023
CM74,20481358,Temp_Onset,5,6/7/2023,9/26/2023
CM74,TURB_481596,Turb_PME,1,6/7/2023,9/26/2023
CM84,DO_895894,DO_miniDOT,1,6/7/2023,9/26/2023
CM84,20174630,Temp_Onset,1.5,6/7/2023,9/26/2023
CM84,20174616,Temp_Onset,2.5,6/7/2023,9/26/2023
CM84,20174629,Temp_Onset,5,6/7/2023,9/26/2023
CM84,TURB_158502,Turb_PME,1,6/7/2023,9/26/2023
CM66,DO_540235,DO_miniDOT,1,3/28/2023,6/12/2023
CM66,20174654,Temp_Onset,1.5,3/28/2023,6/12/2023
CM66,20174618,Temp_Onset,2.5,3/28/2023,6/12/2023
CM66,20174666,Temp_Onset,3.5,3/28/2023,6/12/2023
CM66,TURB_874404,Turb_PME,1,3/28/2023,6/12/2023
CM74,DO_450377,DO_miniDOT,1,3/28/2023,6/12/2023
CM74,20481361,Temp_Onset,1.5,3/28/2023,6/12/2023
CM74,20174628,Temp_Onset,2.5,3/28/2023,6/12/2023
CM74,20481358,Temp_Onset,5,3/28/2023,6/12/2023
CM74,TURB_481596,Turb_PME,1,3/28/2023,6/12/2023
CM84,DO_895894,DO_miniDOT,1,3/28/2023,6/12/2023
CM84,20174630,Temp_Onset,1.5,3/28/2023,6/12/2023
CM84,20174616,Temp_Onset,2.5,3/28/2023,6/12/2023
CM84,20174629,Temp_Onset,5,3/28/2023,6/12/2023
