MiniDOT Logger Concatenated Data File,,,,,,,
Sensor:             7450-540235,,,,,,,
Concatenation Date: 2023Jun13 11:05:23 GMT-08:00,,,,,,,
,,,,,,,
DO concentration compensated for salinity: 0.0 (ppt),,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,
,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,                     GMT-08:00,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
1680031980,           2023-03-28 19:33:00,           2023-03-28 11:33:00,3.4,16.867,9.589,98.941157,0.927
1680032280,           2023-03-28 19:38:00,           2023-03-28 11:38:00,3.41,16.4,9.685,98.956633,0.927
1680032580,           2023-03-28 19:43:00,           2023-03-28 11:43:00,3.42,15.999,9.763,98.911134,0.927
1680032880,           2023-03-28 19:48:00,           2023-03-28 11:48:00,3.42,15.657,9.834,98.907862,0.928
1680033180,           2023-03-28 19:53:00,           2023-03-28 11:53:00,3.42,15.417,9.873,98.791664,0.928
1680033480,           2023-03-28 19:58:00,           2023-03-28 11:58:00,3.43,15.176,9.932,98.868952,0.928
1680033780,           2023-03-28 20:03:00,           2023-03-28 12:03:00,3.43,14.961,9.982,98.907111,0.928
1680034080,           2023-03-28 20:08:00,           2023-03-28 12:08:00,3.44,14.858,9.997,98.835397,0.928
1680034380,           2023-03-28 20:13:00,           2023-03-28 12:13:00,3.43,15.194,9.905,98.638377,0.928
1680034680,           2023-03-28 20:18:00,           2023-03-28 12:18:00,3.44,14.841,9.984,98.670562,0.928
1680034980,           2023-03-28 20:23:00,           2023-03-28 12:23:00,3.44,14.53,10.063,98.782283,0.929
1680035280,           2023-03-28 20:28:00,           2023-03-28 12:28:00,3.44,14.27,10.122,98.79958,0.929
1680035580,           2023-03-28 20:33:00,           2023-03-28 12:33:00,3.44,14.123,10.146,98.71571,0.929
1680035880,           2023-03-28 20:38:00,           2023-03-28 12:38:00,3.45,13.957,10.188,98.763873,0.929
1680036180,           2023-03-28 20:43:00,           2023-03-28 12:43:00,3.45,13.836,10.224,98.849351,0.929
1680036480,           2023-03-28 20:48:00,           2023-03-28 12:48:00,3.45,13.731,10.234,98.717264,0.929
1680036780,           2023-03-28 20:53:00,           2023-03-28 12:53:00,3.45,13.609,10.27,98.797917,0.929
1680037080,           2023-03-28 20:58:00,           2023-03-28 12:58:00,3.45,13.46,10.304,98.798523,0.929
1680037380,           2023-03-28 21:03:00,           2023-03-28 13:03:00,3.45,13.338,10.331,98.789564,0.929
1680037680,           2023-03-28 21:08:00,           2023-03-28 13:08:00,3.45,13.215,10.364,98.83438,0.929
1680037980,           2023-03-28 21:13:00,           2023-03-28 13:13:00,3.45,13.136,10.384,98.850961,0.93
1680038280,           2023-03-28 21:18:00,           2023-03-28 13:18:00,3.45,13.031,10.408,98.847539,0.93
1680038580,           2023-03-28 21:23:00,           2023-03-28 13:23:00,3.45,12.969,10.416,98.786541,0.93
1680038880,           2023-03-28 21:28:00,           2023-03-28 13:28:00,3.45,12.943,10.417,98.73859,0.929
