DOPLogNumber,Project,Year,Month,SerialNumber,Date,Station,Region,Species,Time,Depth,SurfaceTemperature,SurfaceConductivity,SurfacePPT,BottomTemperature,BottomConductivity,BottomPPT,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberofPrey,TotalPreyWeight,Gut Fullness,FullnessRank,DigestionRank,Acanthocyclops spp,Acartiella copepodid,Acartiella sinensis,Barnacle nauplii,Bosmina spp,Calanoid copepodid,Ceriodaphnia spp,Chironomid larvae,Clams,Copepod nauplii,Corophium type,Crab zoea,Cumaceans,Cyclopoid copepodid,Daphnia spp,Diacyclops spp,Diaphanosoma spp,Diaptomus copepodid,Diaptomus spp,Eucyclops spp,Eurytemora copepodid,Eurytemora nauplii,Eurytemora spp,Gammarus type,Harpacticoids,Hyperacanthomysis longirostris,Isopods,Limnoithona copepodid,Limnoithona spp,Nippoleucon hinumensis,Oithona davisae,Osphranticum,Ostracods,Other cladocera,Other cyclopoid,Other malacostraca,Other rotifer,Other zooplankton,Palaemon,Prickly Sculpin,Pseudodiaptomus copepodid,Pseudodiaptomus forbesi,Pseudodiaptomus marinus,Pseudodiaptomus nauplii,Pseudodiaptomus spp,Sinocalanus copepodid,Sinocalanus nauplii,Sinocalanus spp,Terrestrial invertebrates,Tortanus copepodid,Tortanus dextrilobatus,Tortanus spp,Tridentiger spp,Unid amphipod,Unid calanoid,Unid cladocera,Unid copepod,Unid cumacean,Unid cyclopoid,Unid fish,Unid mysids
1,EDSM,2017,8,1,8/10/2017 0:00,18-02-CS01,Cache Slough LI,delta smelt,12/30/1899 8:30:00,,22.89,246,0.1,,,,50,21.2,0.38,Y,42,,30,8.24E-04,0.21,2,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,6,8,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2,EDSM,2017,8,2,8/15/2017 0:00,18-03-SSC02,Sac DW Ship Channel,delta smelt,12/30/1899 11:51:00,,22.79,418.79,0.18,,,,28,39.7,0.75,Y,52,3.55E-03,33,1.28E-03,0.16,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,2,5,0,0,0,1,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0
3,EDSM,2017,8,3,8/21/2017 0:00,18-04-LSR05,Lower Sacramento,delta smelt,12/30/1899 8:42:00,,20.9,2632,1.33,,,,45,24.6,0.76,y,47,3.96E-03,40,3.60E-04,0.04,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,EDSM,2017,8,4,8/22/2017 0:00,18-04-SSC02,Sac DW Ship Channel,delta smelt,12/30/1899 10:30:00,,22.89,1420,0.69,,,,30,56.29,0.5,y,47,1.40E-03,1,4.44E-05,8.80E-03,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,EDSM,2017,8,5,8/28/2017 0:00,18-05-LSR02,Lower Sacramento,delta smelt,12/30/1899 8:38:00,,21.89,902,0.42,,,,52.99,23.5,0.88,y,48,,136,2.10E-03,0.23,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
6,EDSM,2017,8,6,8/28/2017 0:00,18-05-LSR02,Lower Sacramento,delta smelt,12/30/1899 8:38:00,,21.89,902,0.42,,,,52.99,23.5,1.8,y,64,,19,1.07E-03,0.05,3,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,EDSM,2017,9,7,9/8/2017 0:00,18-06-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:49:00,,22.29,1976,0.98,,,,56.99,19.1,1.06,y,53,,81,3.62E-03,0.34,3,3,0,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,EDSM,2017,9,8,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 9:45:00,,20.89,159.1,0.06,,,,57.99,16.2,0.73,y,49,3.60E-03,14,7.87E-04,0.1,3,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,EDSM,2017,9,9,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 9:45:00,,20.89,159.1,0.06,,,,57.99,16.2,0.72,y,47,3.77E-03,17,8.71E-04,0.11,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,EDSM,2017,9,10,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,Delta smelt,12/30/1899 9:45:00,,20.89,159.1,0.06,,,,57.99,16.2,1.03,y,56,,40,3.20E-03,0.3,3,3,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
