DOPLogNumber,Project,Year,Month,Date,Station,Region,Species,ForkLength,TotalBodyWeight,SerialNumber,PreyType,PreyConversion,MacroCategory,PreyLengthSpecies,PreyLength,Estimate,PreyWeight,GutContents
2,EDSM,2017,8,8/15/2017 0:00,18-03-SSC02,Sac DW Ship Channel,Delta Smelt,52,0.75,2,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,1,ED,,Y
97,EDSM,2018,7,7/5/2018 0:00,18-49-LSSC03,Sac DW Ship Channel,Delta Smelt,44,0.47,64,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,1.5,,,y
98,EDSM,2018,7,7/5/2018 0:00,18-49-LSSC03,Sac DW Ship Channel,Delta Smelt,35,0.35,65,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,1.8,,,y
99,EDSM,2018,7,7/5/2018 0:00,18-49-LSSC03,Sac DW Ship Channel,Delta Smelt,42,0.42,66,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,1.3,,,y
102,EDSM,2018,7,7/18/2018 0:00,18-51-LSSC01,Sac DW Ship Channel,Delta Smelt,46,0.71,69,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,1.5,,,y
103,EDSM,2018,7,7/19/2018 0:00,18-51-LSSC04,Sac DW Ship Channel,Delta Smelt,48,0.84,70,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,1.5,U,,y
104,EDSM,2018,7,7/23/2018 0:00,18-52-LSSC02,Sac DW Ship Channel,Delta Smelt,48,0.87,71,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,1.5,,,y
107,EDSM,2018,7,7/24/2018 0:00,18-52-LSSC03,Sac DW Ship Channel,Delta Smelt,45,0.81,74,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,1.5,S,,y
107,EDSM,2018,7,7/24/2018 0:00,18-52-LSSC03,Sac DW Ship Channel,Delta Smelt,45,0.81,74,Unid Amphipod,Amphipoda,amphipod,,1.8,Y,,y
114,EDSM,2018,8,8/8/2018 0:00,19-02-LSSC02,Sac DW Ship Channel,Delta Smelt,46,0.75,81,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,1,ED,,y
115,EDSM,2018,8,8/8/2018 0:00,19-02-LSSC02,Sac DW Ship Channel,Delta Smelt,45,0.63,82,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,5.7,,,y
120,EDSM,2018,8,8/14/2018 0:00,19-03-LSSC01,Sac DW Ship Channel,Delta Smelt,44,0.52,87,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,5.7,M,,y
129,EDSM,2018,8,8/27/2018 0:00,19-05-LSSC05,Sac DW Ship Channel,Delta Smelt,47,0.78,96,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,1,,,y
129,EDSM,2018,8,8/27/2018 0:00,19-05-LSSC05,Sac DW Ship Channel,Delta Smelt,47,0.78,96,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,mysids,,1,G,,y
