"","SampleID","SubRegion","IBMR","TowType","Date","Latitude","Longitude","Source","Station","DOY","CPUE","BPUE","Region","Month","Year","MonthYear"
"1","DOP 18-09-SSC02 2017-09-25 ICF184","Lower Sacramento River Ship Channel","allcopnaup","Surface",2017-09-25,38.38838,-121.622542,"DOP","18-09-SSC02",268,938.61345816,93.861345816,"Middle",9,2017,2016.33333333333
"2","DOP 18-09-SSC02 2017-09-25 ICF184","Lower Sacramento River Ship Channel","daphnia","Surface",2017-09-25,38.38838,-121.622542,"DOP","18-09-SSC02",268,105.364959784,421.459839136,"Middle",9,2017,2016.33333333333
"3","DOP 18-09-SSC02 2017-09-25 ICF184","Lower Sacramento River Ship Channel","limno","Surface",2017-09-25,38.38838,-121.622542,"DOP","18-09-SSC02",268,26.97750178,3.5070752314,"Middle",9,2017,2016.33333333333
"4","DOP 18-09-SSC02 2017-09-25 ICF184","Lower Sacramento River Ship Channel","othcalad","Surface",2017-09-25,38.38838,-121.622542,"DOP","18-09-SSC02",268,4.072075741,13.88577827681,"Middle",9,2017,2016.33333333333
"5","DOP 18-09-SSC02 2017-09-25 ICF184","Lower Sacramento River Ship Channel","othcaladjuv","Surface",2017-09-25,38.38838,-121.622542,"DOP","18-09-SSC02",268,31.558586985,47.3378804775,"Middle",9,2017,2016.33333333333
"6","DOP 18-09-SSC02 2017-09-25 ICF184","Lower Sacramento River Ship Channel","othclad","Surface",2017-09-25,38.38838,-121.622542,"DOP","18-09-SSC02",268,195.459635565,146.391122885,"Middle",9,2017,2016.33333333333
"7","DOP 18-09-SSC02 2017-09-25 ICF184","Lower Sacramento River Ship Channel","othcyc","Surface",2017-09-25,38.38838,-121.622542,"DOP","18-09-SSC02",268,21.37839764,71.8314160704,"Middle",9,2017,2016.33333333333
"8","DOP 18-09-SSC02 2017-09-25 ICF184","Lower Sacramento River Ship Channel","pdiapfor","Surface",2017-09-25,38.38838,-121.622542,"DOP","18-09-SSC02",268,15.77929349,41.9729206834,"Middle",9,2017,2016.33333333333
"9","DOP 18-09-SSC02 2017-09-25 ICF184","Lower Sacramento River Ship Channel","pdiapjuv","Surface",2017-09-25,38.38838,-121.622542,"DOP","18-09-SSC02",268,87.04061896,100.096711804,"Middle",9,2017,2016.33333333333
"10","DOP 18-09-SSC02 2017-09-25 ICF185","Lower Sacramento River Ship Channel","allcopnaup","Surface",2017-09-25,38.385599,-121.62434,"DOP","18-09-SSC02",268,1370.71181657,137.071181657,"Middle",9,2017,2016.33333333333
