Database,LogNumber,Project,GearType,Year,Month,Date,Station,SerialNumber,Species,Time,Depth,SurfaceTemperature,SurfaceConductivity,SurfacePPT,BottomTemperature,BottomConductivity,BottomPPT,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberOfPrey,TotalPreyWeight,GutFullness,FullnessRank,DigestionRank,Acanthocyclops spp,Acartia spp,Acartia copepodid,Acartiella sinensis,Acartiella copepodid,Barnacle nauplii,Bosmina spp,Ceriodaphnia spp,Calanoid copepodid,Chironomid larvae,Clams,Copepod nauplii,Corophium type,Crab megalope,Crab zoea,Cumaceans,Cyclopoid copepodid,Daphnia spp,Diaphanosoma spp,Diaptomus spp,Diaptomus copepodid,Eurytemora spp,Eurytemora copepodid,Eurytemora nauplii,Fish eggs,Gammarus type,Harpacticoids,Hyperacanthomysis longirostris,Isopods,Limnoithona spp,Limnoithona copepodid,Longfin Smelt,Neomysis kadiakensis,Neomysis mercedis,Oithona davisae,Oithona copepodid,Osphranticum,Ostracods,Other calanoid,Other cladocera,Other cyclopoid,Other insect larvae,Other malacostraca,Other zooplankton,Pacific Herring,Palaemon,Prickly Sculpin,Pseudodiaptomus forbesi,Pseudodiaptomus marinus,Pseudodiaptomus spp,Pseudodiaptomus copepodid,Pseudodiaptomus nauplii,Sinocalanus spp,Sinocalanus copepodid,Sinocalanus nauplii,Synchaeta,Terrestrial invertebrates,Tortanus dextrilobatus,Tortanus spp,Tortanus copepodid,Tridentiger spp,Unid amphipod,Unid calanoid,Unid cladocera,Unid copepod,Unid cyclopoid,Unid fish,Unid mysids,Worm pieces
FLaSH,1,STN,TWNET,2011,8,8/25/2011,602,1076,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.6265,Y,47,0.008,287,0.0027299,0.435738228,,,0,0,0,4,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,257,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FLaSH,2,STN,TWNET,2011,8,8/25/2011,602,1081,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.4112,Y,39,0.0038,611,0.0040665,0.988934825,,,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,562,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FLaSH,3,STN,TWNET,2011,8,8/24/2011,501,1005,Delta Smelt,9:34,10.4,20.6,6800,3.71,20.3,7600,4.18,51,18.2,1.1577,Y,55,0.0056,67,0.004828952,0.417115963,,,0,0,0,46,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
FLaSH,4,STN,TWNET,2011,8,8/26/2011,340,1087,Delta Smelt,8:12,3.7,20.2,22430,13.49,19.5,22520,13.55,46,22.4,0.7949,Y,47,0.0014,15,0.003501125,0.440448499,,,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,5,STN,TWNET,2011,8,8/25/2011,602,1062,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.9155,Y,52,0.0065,47,0.00339105,0.370404106,,,0,0,0,36,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
FLaSH,6,STN,TWNET,2011,8,8/24/2011,519,1006,Delta Smelt,10:40,2.7,20.8,3587,1.86,20.8,3599,1.87,49,19,0.4263,Y,51,0.0021,16,0.001252142,0.293723229,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,7,STN,TWNET,2011,8,8/25/2011,602,1072,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.5123,Y,44,0.0007,3,0.0001358,0.026507906,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,8,STN,TWNET,2011,8,8/25/2011,602,1080,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.5366,Y,44,0.0033,3,0.0002055,0.038296683,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,9,STN,TWNET,2011,8,8/25/2011,602,1063,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.6312,Y,45,0.0022,27,0.0011714,0.185583016,,,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,10,STN,TWNET,2011,8,8/25/2011,602,1074,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.5091,Y,45,0.0008,217,0.0016054,0.315340797,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLaSH,11,STN,TWNET,2011,8,8/25/2011,602,1082,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.4495,Y,42,0.0023,4,0.000514332,0.114423131,,,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FLaSH,12,STN,TWNET,2011,8,8/25/2011,602,1066,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.6611,Y,47,0.0015,36,0.0020893,0.316033883,,,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FLaSH,13,STN,TWNET,2011,8,8/25/2011,602,1065,Delta Smelt,9:57,2.4,20.3,8160,4.51,20.3,8100,4.47,17,47.9,0.4502,Y,40,0.0008,9,0.0006777,0.150533096,,,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
