FLaSHLogNumber,Project,Date,Station,Species,SerialNumber,PreyType,PreyConversion,MacroCategory,PreyLengthSpecies,PreyLength,Estimate,PreyWeight
105,FMWT,9/13/2011 0:00,507,delta smelt,1297,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4,,
206,FMWT,11/15/2011 0:00,705,delta smelt,2855,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.1,,
226,FMWT,12/9/2011 0:00,518,delta smelt,3243,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.5,,
232,FMWT,12/12/2011 0:00,705,delta smelt,3366,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.1,G,
240,FMWT,12/12/2011 0:00,706,delta smelt,3329,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.3,,
277,FMWT,12/9/2011 0:00,519,delta smelt,3250,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1,G,
278,FMWT,12/9/2011 0:00,517,delta smelt,3236,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,
278,FMWT,12/9/2011 0:00,517,delta smelt,3236,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.5,,
278,FMWT,12/9/2011 0:00,517,delta smelt,3236,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.7,,
278,FMWT,12/9/2011 0:00,517,delta smelt,3236,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.8,,
304,SKT,1/20/2012 0:00,501,delta smelt,4251,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.3,,
321,SKT,1/18/2012 0:00,519,delta smelt,4017,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.1,G,
331,SKT,1/20/2012 0:00,520,delta smelt,4233,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.9,M,
333,SKT,1/20/2012 0:00,520,delta smelt,4238,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.7,,
335,SKT,1/20/2012 0:00,520,delta smelt,4235,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.9,M,
337,SKT,1/20/2012 0:00,520,delta smelt,4236,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4,,
337,SKT,1/20/2012 0:00,520,delta smelt,4236,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.3,,
341,SKT,1/20/2012 0:00,520,delta smelt,4237,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.3,,
343,SKT,1/20/2012 0:00,520,delta smelt,4230,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.1,,
354,SKT,1/20/2012 0:00,609,delta smelt,4316,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.2,,
367,SKT,1/19/2012 0:00,704,delta smelt,4074,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.7,S,
381,SKT,1/19/2012 0:00,706,delta smelt,4088,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3,,
395,SKT,1/19/2012 0:00,716,delta smelt,4107,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.5,,
401,SKT,1/19/2012 0:00,719,delta smelt,4160,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.6,,
408,SKT,1/18/2012 0:00,801,delta smelt,4003,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.5,,
423,SKT,2/14/2012 0:00,519,delta smelt,4324,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.3,,
424,SKT,2/14/2012 0:00,519,delta smelt,4357,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.6,,
424,SKT,2/14/2012 0:00,519,delta smelt,4357,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,5.3,,
427,SKT,2/14/2012 0:00,519,delta smelt,4374,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1,,
427,SKT,2/14/2012 0:00,519,delta smelt,4374,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1,G,
428,SKT,2/14/2012 0:00,519,delta smelt,4325,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.2,ED,
432,SKT,2/16/2012 0:00,606,delta smelt,4525,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.7,,
450,SKT,2/16/2012 0:00,609,delta smelt,4558,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.7,,
469,SKT,2/15/2012 0:00,706,delta smelt,4445,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,1.9,,
487,SKT,3/6/2012 0:00,513,delta smelt,4587,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,4.2,ED,
487,SKT,3/6/2012 0:00,513,delta smelt,4587,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,2.6,,
487,SKT,3/6/2012 0:00,513,delta smelt,4587,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.3,,
488,SKT,3/6/2012 0:00,513,delta smelt,4588,Corophium,Americorophium spinicorne,amphipod,A. spinicorne,3.1,G,
