"Year","Month","Date","Station","SampleID","Species","Depth","SurfaceTemperature","SurfaceConductivity","SurfacePPT","Secchi","Turbidity","TotalBodyWeight","GutContents","ForkLength","TotalGutContentWeight","TotalNumberOfPrey","TotalPreyWeight","GutFullness","FullnessRank","DigestionRank","daphnia FO","acartela FO","allcopnaup FO","amphipod FO","fish FO","limno FO","mysid FO","othcalad FO","othcaljuv FO","othclad FO","othcyc FO","other FO","pdiapfor FO","pdiapjuv FO","sinocal FO"
2011,8,2011-08-23,"716","FLaSH 16 STN 2011-08-23 716 1382","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.5117,"Y",41,0.00151,64,0.0019311,0.377389095172953,NA,NA,"N","N","Y","N","N","N","N","Y","Y","Y","Y","N","Y","Y","Y"
2011,8,2011-08-23,"716","FLaSH 17 STN 2011-08-23 716 1398","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.35,"Y",37,0.00058,1,1.37e-05,0.00391428571428571,NA,NA,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N"
2011,8,2011-08-23,"716","FLaSH 18 STN 2011-08-23 716 1384","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.9668,"Y",50,0.0045,32,0.0007649,0.0791166735622673,NA,NA,"N","N","Y","N","N","N","N","Y","N","N","Y","N","Y","Y","N"
2011,8,2011-08-23,"716","FLaSH 28 STN 2011-08-23 716 1366","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,1.0253,"Y",53,0.0056,199,0.00621587673759764,0.606249559894435,NA,NA,"N","Y","Y","Y","N","N","N","Y","N","N","N","N","Y","Y","N"
2011,8,2011-08-23,"716","FLaSH 29 STN 2011-08-23 716 1381","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.5297,"Y",43,0.00318,87,0.0024945,0.470926939777232,NA,NA,"Y","Y","Y","N","N","N","N","Y","Y","N","Y","N","Y","Y","N"
2011,8,2011-08-23,"716","FLaSH 30 STN 2011-08-23 716 1391","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.4561,"Y",39,0.00207,71,0.0018648,0.40885770664328,NA,NA,"N","N","Y","N","N","N","N","Y","N","N","Y","N","Y","Y","N"
2011,8,2011-08-23,"716","FLaSH 36 STN 2011-08-23 716 1379","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.3541,"Y",37,0.0012,10,0.0001956,0.0552386331544761,NA,NA,"N","N","Y","N","N","N","N","N","N","N","N","N","Y","Y","N"
2011,8,2011-08-23,"716","FLaSH 37 STN 2011-08-23 716 1377","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.5997,"Y",43,NA,12,0.0004343,0.0724195431048858,NA,NA,"N","N","N","N","N","Y","N","N","Y","N","Y","N","Y","Y","N"
2011,8,2011-08-23,"716","FLaSH 38 STN 2011-08-23 716 1393","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.5529,"Y",43,0.0029,80,0.0018628,0.336914451076144,NA,NA,"N","N","Y","N","N","N","N","Y","N","N","N","N","Y","Y","Y"
2011,8,2011-08-23,"716","FLaSH 40 STN 2011-08-23 716 1372","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.4458,"Y",40,0.00329,40,0.0007413,0.16628532974428,NA,NA,"N","N","Y","N","N","N","N","Y","Y","N","N","N","Y","Y","N"
2011,8,2011-08-23,"716","FLaSH 41 STN 2011-08-23 716 1386","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.6285,"Y",44,0.00283,19,0.0003035,0.0482895783611774,NA,NA,"N","N","Y","N","N","N","N","Y","N","N","N","N","Y","Y","N"
2011,8,2011-08-23,"716","FLaSH 42 STN 2011-08-23 716 1375","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.7392,"Y",49,0.00426,88,0.0020626,0.279031385281385,NA,NA,"N","N","Y","N","N","N","N","Y","N","N","Y","N","Y","Y","Y"
2011,8,2011-08-23,"716","FLaSH 43 STN 2011-08-23 716 1369","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.9535,"Y",50,0.00755,129,0.0039432,0.413550078657577,NA,NA,"N","N","Y","N","N","N","N","Y","Y","N","Y","N","Y","Y","Y"
2011,8,2011-08-23,"797","FLaSH 44 STN 2011-08-23 797 1487","Delta Smelt",10.668,25.5,629,0.28859800811307,27,35.9,0.9798,"Y",52,0.00253,429,0.002596,0.26495203102674,NA,NA,"N","N","Y","N","N","Y","N","Y","N","N","N","Y","Y","Y","Y"
2011,8,2011-08-23,"716","FLaSH 45 STN 2011-08-23 716 1370","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,1.1347,"Y",55,0.00592,129,0.0040402,0.356058870185952,NA,NA,"N","N","Y","N","N","N","N","Y","Y","N","N","N","Y","Y","Y"
2011,8,2011-08-23,"716","FLaSH 46 STN 2011-08-23 716 1392","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.425,"Y",38,0.00128,58,0.0017196,0.404611764705882,NA,NA,"N","N","Y","N","N","N","N","Y","N","N","N","N","Y","Y","N"
2011,8,2011-08-23,"716","FLaSH 47 STN 2011-08-23 716 1373","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.5342,"Y",43,0.00268,59,0.0016209,0.303425683264695,NA,NA,"N","N","Y","N","N","N","N","Y","N","Y","Y","Y","Y","Y","Y"
2011,8,2011-08-23,"797","FLaSH 48 STN 2011-08-23 797 1484","Delta Smelt",10.668,25.5,629,0.28859800811307,27,35.9,0.3698,"Y",38,0.00085,115,0.0014217,0.384451054624121,NA,NA,"N","N","Y","N","N","Y","N","Y","N","Y","Y","Y","Y","Y","N"
2011,8,2011-08-23,"716","FLaSH 49 STN 2011-08-23 716 1376","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,1.1676,"Y",56,0.00309,43,0.0011157,0.0955549845837616,NA,NA,"N","N","Y","N","N","N","N","Y","Y","N","N","Y","Y","Y","N"
2011,8,2011-08-23,"716","FLaSH 50 STN 2011-08-23 716 1400","Delta Smelt",10.3632,20.6,163,0.0680186925805855,35,29.5,0.2622,"Y",34,0.00091,22,0.0002948,0.112433257055683,NA,NA,"N","N","Y","N","N","N","N","Y","N","N","N","Y","N","Y","Y"
2011,8,2011-08-23,"797","FLaSH 51 STN 2011-08-23 797 1486","Delta Smelt",10.668,25.5,629,0.28859800811307,27,35.9,0.7189,"Y",46,0.00071,49,0.0019033,0.26475170399221,NA,NA,"N","N","Y","N","N","Y","N","Y","N","Y","N","Y","Y","Y","N"
