"","Date","Station","Depth","StationCode","Temp","Imputed"
"1",2023-04-01,"CM51",1.5,"CM51_1.5",11.35,"No"
"2",2023-04-02,"CM51",1.5,"CM51_1.5",11.8791666666667,"No"
"3",2023-04-03,"CM51",1.5,"CM51_1.5",12.1770833333333,"No"
"4",2023-04-04,"CM51",1.5,"CM51_1.5",12.2677083333333,"No"
"5",2023-04-05,"CM51",1.5,"CM51_1.5",12.303125,"No"
"6",2023-04-06,"CM51",1.5,"CM51_1.5",12.5760416666667,"No"
"7",2023-04-07,"CM51",1.5,"CM51_1.5",12.8708333333333,"No"
"8",2023-04-08,"CM51",1.5,"CM51_1.5",13.034375,"No"
"9",2023-04-09,"CM51",1.5,"CM51_1.5",13.515625,"No"
"10",2023-04-10,"CM51",1.5,"CM51_1.5",14.0979166666667,"No"
"11",2023-04-11,"CM51",1.5,"CM51_1.5",14.746875,"No"
"12",2023-04-12,"CM51",1.5,"CM51_1.5",15.1583333333333,"No"
"13",2023-04-13,"CM51",1.5,"CM51_1.5",15.1604166666667,"No"
"14",2023-04-14,"CM51",1.5,"CM51_1.5",14.6989583333333,"No"
"15",2023-04-15,"CM51",1.5,"CM51_1.5",14.846875,"No"
"16",2023-04-16,"CM51",1.5,"CM51_1.5",14.89375,"No"
"17",2023-04-17,"CM51",1.5,"CM51_1.5",14.6052083333333,"No"
"18",2023-04-18,"CM51",1.5,"CM51_1.5",14.1229166666667,"No"
"19",2023-04-19,"CM51",1.5,"CM51_1.5",13.89375,"No"
"20",2023-04-20,"CM51",1.5,"CM51_1.5",13.9375,"No"
"21",2023-04-21,"CM51",1.5,"CM51_1.5",14.1583333333333,"No"
"22",2023-04-22,"CM51",1.5,"CM51_1.5",14.709375,"No"
"23",2023-04-23,"CM51",1.5,"CM51_1.5",15.15625,"No"
"24",2023-04-24,"CM51",1.5,"CM51_1.5",15.65,"No"
"25",2023-04-25,"CM51",1.5,"CM51_1.5",16.1666666666667,"No"
"26",2023-04-26,"CM51",1.5,"CM51_1.5",16.5583333333333,"No"
"27",2023-04-27,"CM51",1.5,"CM51_1.5",16.95,"No"
"28",2023-04-28,"CM51",1.5,"CM51_1.5",17.4229166666667,"No"
"29",2023-04-29,"CM51",1.5,"CM51_1.5",17.6197916666667,"No"
"30",2023-04-30,"CM51",1.5,"CM51_1.5",17.4052083333333,"No"
"31",2023-05-01,"CM51",1.5,"CM51_1.5",16.8802083333333,"No"
"32",2023-05-02,"CM51",1.5,"CM51_1.5",16.0572916666667,"No"
"33",2023-05-03,"CM51",1.5,"CM51_1.5",15.4677083333333,"No"
"34",2023-05-04,"CM51",1.5,"CM51_1.5",14.8666666666667,"No"
"35",2023-05-05,"CM51",1.5,"CM51_1.5",14.5802083333333,"No"
"36",2023-05-06,"CM51",1.5,"CM51_1.5",14.5364583333333,"No"
"37",2023-05-07,"CM51",1.5,"CM51_1.5",14.5125,"No"
"38",2023-05-08,"CM51",1.5,"CM51_1.5",14.6197916666667,"No"
"39",2023-05-09,"CM51",1.5,"CM51_1.5",14.7854166666667,"No"
"40",2023-05-10,"CM51",1.5,"CM51_1.5",15.05,"No"
"41",2023-05-11,"CM51",1.5,"CM51_1.5",15.3552083333333,"No"
"42",2023-05-12,"CM51",1.5,"CM51_1.5",15.996875,"No"
"43",2023-05-13,"CM51",1.5,"CM51_1.5",16.7802083333333,"No"
"44",2023-05-14,"CM51",1.5,"CM51_1.5",17.4958333333333,"No"
"45",2023-05-15,"CM51",1.5,"CM51_1.5",17.8114583333333,"No"
"46",2023-05-16,"CM51",1.5,"CM51_1.5",18.19375,"No"
"47",2023-05-17,"CM51",1.5,"CM51_1.5",18.1479166666667,"No"
"48",2023-05-18,"CM51",1.5,"CM51_1.5",17.8395833333333,"No"
"49",2023-05-19,"CM51",1.5,"CM51_1.5",17.809375,"No"
"50",2023-05-20,"CM51",1.5,"CM51_1.5",17.696875,"No"
"51",2023-05-21,"CM51",1.5,"CM51_1.5",17.6583333333333,"No"
"52",2023-05-22,"CM51",1.5,"CM51_1.5",17.8739583333333,"No"
"53",2023-05-23,"CM51",1.5,"CM51_1.5",17.9145833333333,"No"
"54",2023-05-24,"CM51",1.5,"CM51_1.5",17.6385416666667,"No"
"55",2023-05-25,"CM51",1.5,"CM51_1.5",17.3229166666667,"No"
"56",2023-05-26,"CM51",1.5,"CM51_1.5",17.2510416666667,"No"
"57",2023-05-27,"CM51",1.5,"CM51_1.5",17.2208333333333,"No"
"58",2023-05-28,"CM51",1.5,"CM51_1.5",17.2916666666667,"No"
