"","SampleID2","serial","Region","ForkLength","TotalBodyWeight","Month","Year","acartela","allcopnaup","daphnia","eurytem","limno","othcalad","othcaljuv","othclad","othcyc","other","pdiapfor","pdiapjuv","sino","amphipod","mysids","SampleID","Date","SurfaceTemperature","SurfaceConductivity","SurfacePPT","Secchi","Turbidity","latitude","longitude","DOY","daylength"
"1","DOP  EDSM 2017-08-10 18-02-CS01 1","1","Lower",42,0.386,8,2017,0,0.6,0,0,0.08,12,0,0,13.44,0,21.28,6.9,0,0,0,"DOP 1 EDSM 2017-08-10 18-02-CS01 1",2017-08-10,22.89999962,246,0.105660738069108,50,21.20000076,38.33262062,-121.6473389,222,13.8770477295616
"2","DOP  EDSM 2017-08-15 18-03-SSC02 2","2","Middle",52,0.7533,8,2017,0,0.1,0,0,0.26,3,3.31,6,11.68,0,13.3,2.3,27.28,0,0,"DOP 2 EDSM 2017-08-15 18-03-SSC02 2",2017-08-15,22.79999924,418.7999878,0.186730468025463,28.0000001,39.70000076,38.38728046,-121.6234417,227,13.7052970299252
"3","DOP  EDSM 2017-08-22 18-04-SSC02 4","4","Middle",47,0.5043,8,2017,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,"DOP 4 EDSM 2017-08-22 18-04-SSC02 4",2017-08-22,22.89999962,1420,0.690172864934533,30.0000012,56.29999924,38.39557076,-121.6189995,234,13.4479631266499
"4","DOP 100 EDSM 2018-07-05 18-49-LSSC03 ","67","Middle",43,0.4901,7,2018,0,0,0,0,0,0,0,0,3.36,0,18.62,0,34.1,0,0,"DOP 100 EDSM 2018-07-05 18-49-LSSC03 67",2018-07-05,22,515,0.232987791178343,31.9999993,40.20000076,38.39557012,-121.6192754,186,14.7678507322988
"5","DOP 101 EDSM 2018-07-09 18-50-LSSC01 ","68","Middle",44,0.479,7,2018,0,0,0,0,0,6,0,0,3.36,0,0,1.15,17.05,0,0,"DOP 101 EDSM 2018-07-09 18-50-LSSC01 68",2018-07-09,22.79999924,690,0.318658897235948,31.0000002,39.20000076,38.42452113,-121.6063894,190,14.7163891364861
"6","DOP 102 EDSM 2018-07-18 18-51-LSSC01 ","69","Middle",46,0.711,7,2018,0,0.1,0,0,0.13,0,0,0,0,0,0,0,0,0,1.60426994121795,"DOP 102 EDSM 2018-07-18 18-51-LSSC01 69",2018-07-18,23.70000076,683,0.315199361444875,23.9999995,44.29999924,38.44597435,-121.5961647,199,14.5490775402208
"7","DOP 103 EDSM 2018-07-19 18-51-LSSC04 ","70","Middle",48,0.8499,7,2018,0,0.4,0,0,0,0,26.12,6,10.08,0,21.28,34.5,211.42,0,1.60426994121795,"DOP 103 EDSM 2018-07-19 18-51-LSSC04 70",2018-07-19,23.5,539,0.244628640506488,31.0000002,48.29999924,38.42158445,-121.6075834,200,14.5243462052279
"8","DOP 104 EDSM 2018-07-23 18-52-LSSC02 ","71","Middle",48,0.8703,7,2018,0,0,0,0,6.37,0,0,0,0,0,0,1.15,0,0,1.60426994121795,"DOP 104 EDSM 2018-07-23 18-52-LSSC02 71",2018-07-23,24.10000038,713,0.3300433889219,38.9999986,34,38.42289066,-121.6071625,204,14.4277375849496
"9","DOP 105 EDSM 2018-07-23 18-52-LSSC05 ","72","Middle",48,0.7034,7,2018,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,"DOP 105 EDSM 2018-07-23 18-52-LSSC05 72",2018-07-23,24.10000038,708,0.327566248599554,36.0000014,33.09999847,38.41948509,-121.6084747,204,14.4274427487497
"10","DOP 106 EDSM 2018-07-24 18-52-LSSC03 ","73","Lower",50,1.0844,7,2018,0,0.2,0,0,0,0,0,0,6.72,0,74.48,25.3,61.38,0,0,"DOP 106 EDSM 2018-07-24 18-52-LSSC03 73",2018-07-24,23.29999924,266,0.114879537755475,49.000001,28.29999924,38.30247498,-121.6544037,205,14.3916724876653
"11","DOP 107 EDSM 2018-07-24 18-52-LSSC03 ","74","Lower",45,0.8169,7,2018,0,0,0,0,0,0,0,0,10.08,0,47.88,5.75,71.61,4.60925255849166,1.60426994121795,"DOP 107 EDSM 2018-07-24 18-52-LSSC03 74",2018-07-24,23.29999924,266,0.114879537755475,49.000001,28.29999924,38.30247498,-121.6544037,205,14.3916724876653
"12","DOP 108 EDSM 2018-07-24 18-52-LSSC03 ","75","Lower",44,0.7457,7,2018,0,0,0,0,0,0,0,0,0,0,2.66,2.3,0,0,0,"DOP 108 EDSM 2018-07-24 18-52-LSSC03 75",2018-07-24,23.29999924,266,0.114879537755475,49.000001,28.29999924,38.30247498,-121.6544037,205,14.3916724876653
"13","DOP 109 EDSM 2018-07-24 18-52-LSSC03 ","76","Lower",47,0.8332,7,2018,0,0,0,0,0.65,0,10.81,0,0,0,37.24,9.2,44.33,0,0,"DOP 109 EDSM 2018-07-24 18-52-LSSC03 76",2018-07-24,23.29999924,275.2999878,0.119183153616622,44.9999988,29.20000076,38.30247498,-121.6544037,205,14.3916724876653
"14","DOP 110 EDSM 2018-08-01 19-01-LSSC01 ","77","Middle",47,0.829,8,2018,0,0.2,0,0,116.35,8,6.93,11,36.96,0,2.66,1.15,68.2,0,0,"DOP 110 EDSM 2018-08-01 19-01-LSSC01 77",2018-08-01,23.89999962,755,0.350899395443816,43.0000007,28.79999924,38.46915627,-121.5857697,213,14.1786371781689
"15","DOP 111 EDSM 2018-08-01 19-01-LSSC01 ","78","Middle",52,0.9621,8,2018,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,"DOP 111 EDSM 2018-08-01 19-01-LSSC01 78",2018-08-01,23.89999962,755,0.350899395443816,43.0000007,28.79999924,38.46915627,-121.5857697,213,14.1786371781689
"16","DOP 112 EDSM 2018-08-01 19-01-USSC03 ","79","Top",47,0.5771,8,2018,0,0.7,0,0,9.88,0,12,7,10.08,0,2.66,9.2,10.23,0,0,"DOP 112 EDSM 2018-08-01 19-01-USSC03 79",2018-08-01,24.10000038,828,0.387343748463526,50,23.79999924,38.48760605,-121.5844536,213,14.1800551991951
"17","DOP 113 EDSM 2018-08-01 19-01-USSC03 ","80","Top",50,0.7975,8,2018,0,1.5,0,0,0.17,0,3,0,0,1,0,9.2,0,0,0,"DOP 113 EDSM 2018-08-01 19-01-USSC03 80",2018-08-01,24.10000038,836,0.391351970621225,51.9999981,20.60000038,38.48760605,-121.5844536,213,14.1800551991951
"18","DOP 114 EDSM 2018-08-08 19-02-LSSC02 ","81","Middle",46,0.7599,8,2018,0,0.3,0,0,0.65,4,0,2,3.36,0,29.26,1.15,20.46,0,0.464,"DOP 114 EDSM 2018-08-08 19-02-LSSC02 81",2018-08-08,23.10000038,567,0.258256010001871,38.9999986,31.79999924,38.38444265,-121.6250788,220,13.948127057379
"19","DOP 115 EDSM 2018-08-08 19-02-LSSC02 ","82","Middle",45,0.6321,8,2018,0,0.1,0,0,0.13,0,0,0,0,0,21.28,3.45,0,0,95.3130905800503,"DOP 115 EDSM 2018-08-08 19-02-LSSC02 82",2018-08-08,23.10000038,567,0.258256010001871,38.9999986,31.79999924,38.38444265,-121.6250788,220,13.948127057379
"20","DOP 116 EDSM 2018-08-14 19-03-LSSC01 ","83","Middle",48,0.7308,8,2018,0,0.1,0,0,0.39,0,0,0,0,0,7.98,5.75,0,0,0,"DOP 116 EDSM 2018-08-14 19-03-LSSC01 83",2018-08-14,22.70000076,329.8999939,0.144646718882185,64.9999976,19.10000038,38.37018585,-121.6310501,226,13.7399793226818
"21","DOP 117 EDSM 2018-08-14 19-03-LSSC01 ","84","Middle",40,0.4666,8,2018,0,1.6,0,0,7.54,0,33,2,10.08,0,15.96,20.7,0,0,0,"DOP 117 EDSM 2018-08-14 19-03-LSSC01 84",2018-08-14,22.70000076,329.8999939,0.144646718882185,64.9999976,19.10000038,38.37018585,-121.6310501,226,13.7399793226818
