"Year","Month","Date","latitude","longitude","Region","SampleID","PreyType","MacroCategory","PreyLengthSpecies","PreyLength","Estimate"
2017,8,2017-08-15,38.38728046,-121.6234417,"Middle","DOP 2 EDSM 2017-08-15 18-03-SSC02 0002","Hyperacanthomysis longirostris","mysids",NA,1,"ED"
2018,7,2018-07-05,38.39557012,-121.6192754,"Middle","DOP 98 EDSM 2018-07-05 18-49-LSSC03 0065","Hyperacanthomysis longirostris","mysids",NA,1.8,NA
2018,7,2018-07-05,38.39557012,-121.6192754,"Middle","DOP 99 EDSM 2018-07-05 18-49-LSSC03 0066","Hyperacanthomysis longirostris","mysids",NA,1.3,NA
2018,7,2018-07-05,38.39557012,-121.6192754,"Middle","DOP 97 EDSM 2018-07-05 18-49-LSSC03 0064","Hyperacanthomysis longirostris","mysids",NA,1.5,NA
2018,7,2018-07-09,38.42452113,-121.6063894,"Middle","DOP 133 EDSM 2018-07-09 18-50-LSSC01 0150","Unid mysids","mysids",NA,1.5,"S"
2018,7,2018-07-18,38.44597435,-121.5961647,"Middle","DOP 102 EDSM 2018-07-18 18-51-LSSC01 0069","Hyperacanthomysis longirostris","mysids",NA,1.5,NA
2018,7,2018-07-19,38.42158445,-121.6075834,"Middle","DOP 103 EDSM 2018-07-19 18-51-LSSC04 0070","Hyperacanthomysis longirostris","mysids",NA,1.5,"U"
2018,7,2018-07-23,38.42289066,-121.6071625,"Middle","DOP 104 EDSM 2018-07-23 18-52-LSSC02 0071","Hyperacanthomysis longirostris","mysids",NA,1.5,NA
2018,7,2018-07-24,38.30247498,-121.6544037,"Lower","DOP 107 EDSM 2018-07-24 18-52-LSSC03 0074","Hyperacanthomysis longirostris","mysids",NA,1.5,"S"
2018,7,2018-07-24,38.30247498,-121.6544037,"Lower","DOP 107 EDSM 2018-07-24 18-52-LSSC03 0074","Unid amphipod","amphipod","Unid amphipod",1.8,"Y"
2018,8,2018-08-08,38.38444265,-121.6250788,"Middle","DOP 115 EDSM 2018-08-08 19-02-LSSC02 0082","Hyperacanthomysis longirostris","mysids",NA,5.7,NA
2018,8,2018-08-08,38.38444265,-121.6250788,"Middle","DOP 114 EDSM 2018-08-08 19-02-LSSC02 0081","Hyperacanthomysis longirostris","mysids",NA,1,"ED"
2018,8,2018-08-14,38.37018585,-121.6310501,"Middle","DOP 120 EDSM 2018-08-14 19-03-LSSC01 0087","Hyperacanthomysis longirostris","mysids",NA,5.7,"M"
2018,8,2018-08-27,38.3326149,-121.6471252,"Lower","DOP 129 EDSM 2018-08-27 19-05-LSSC05 0096","Unid mysids","mysids",NA,1.5,"U"
2018,8,2018-08-27,38.3326149,-121.6471252,"Lower","DOP 129 EDSM 2018-08-27 19-05-LSSC05 0096","Hyperacanthomysis longirostris","mysids",NA,1,"G"
2018,8,2018-08-27,38.3326149,-121.6471252,"Lower","DOP 130 EDSM 2018-08-27 19-05-LSSC05 0097","Unid mysids","mysids",NA,1.5,NA
2018,8,2018-08-27,38.3326149,-121.6471252,"Lower","DOP 129 EDSM 2018-08-27 19-05-LSSC05 0096","Unid mysids","mysids",NA,2,NA
2018,8,2018-08-27,38.3326149,-121.6471252,"Lower","DOP 129 EDSM 2018-08-27 19-05-LSSC05 0096","Hyperacanthomysis longirostris","mysids",NA,1,NA
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 151 EDSM 2018-09-10 19-07-LSSC02 0100","Hyperacanthomysis longirostris","mysids",NA,1.7,NA
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 155 EDSM 2018-09-10 19-07-LSSC02 0104","Unid mysids","mysids",NA,1.5,"S"
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 151 EDSM 2018-09-10 19-07-LSSC02 0100","Hyperacanthomysis longirostris","mysids",NA,1.5,NA
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 157 EDSM 2018-09-10 19-07-LSSC02 0106","Hyperacanthomysis longirostris","mysids",NA,1.5,"S"
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 151 EDSM 2018-09-10 19-07-LSSC02 0100","Unid mysids","mysids",NA,2.9,"ED"
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 156 EDSM 2018-09-10 19-07-LSSC02 0105","Unid mysids","mysids",NA,1.6,"S"
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 151 EDSM 2018-09-10 19-07-LSSC02 0100","Unid mysids","mysids",NA,7.2,"ED"
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 155 EDSM 2018-09-10 19-07-LSSC02 0104","Hyperacanthomysis longirostris","mysids",NA,1.5,NA
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 155 EDSM 2018-09-10 19-07-LSSC02 0104","Hyperacanthomysis longirostris","mysids",NA,2.6,"ED"
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 240 EDSM 2018-09-10 19-07-LSSC02 0113","Hyperacanthomysis longirostris","mysids",NA,1.6,NA
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 241 EDSM 2018-09-10 19-07-LSSC02 0114","Hyperacanthomysis longirostris","mysids",NA,1.6,NA
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 241 EDSM 2018-09-10 19-07-LSSC02 0114","Hyperacanthomysis longirostris","mysids",NA,1.6,"G"
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 243 EDSM 2018-09-10 19-07-LSSC02 0116","Hyperacanthomysis longirostris","mysids",NA,1.6,"S"
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 153 EDSM 2018-09-10 19-07-LSSC02 0102","Hyperacanthomysis longirostris","mysids",NA,1.3,NA
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 158 EDSM 2018-09-10 19-07-LSSC02 0107","Hyperacanthomysis longirostris","mysids",NA,1,"ED"
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 151 EDSM 2018-09-10 19-07-LSSC02 0100","Unid mysids","mysids",NA,5.7,"ED"
2018,9,2018-09-10,38.35631943,-121.6380539,"Lower","DOP 158 EDSM 2018-09-10 19-07-LSSC02 0107","Unid mysids","mysids",NA,7.2,"ED"
