"","SampleID","ForkLength","TotalBodyWeight","Month","Year","Region","acartela","allcopnaup","daphnia","eurytem","limno","othcalad","othcaljuv","othclad","othcyc","other","pdiapfor","pdiapjuv","sino","amphipod","mysids"
"1","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle",0,37.1,0,0,0.91,15,0,0,0,5.28,58.52,18.4,6.82,0,0
"2","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle",0,7.24,0,0,0.39,30,0,2,6.56,11,29.26,2.3,0,0,0
"3","FLaSH 51 STN 2011-08-23 797 1486",46,0.7189,8,2011,"Middle",0,1.1,0,0,0.38,3,0,0.6,0,8,55.86,1.15,0,0,0
"4","FLaSH 68 STN 2011-08-23 797 1485",48,0.9053,8,2011,"Middle",0,0,0,0,0,0,0,1,0,4,85.12,6.9,10.23,0,0
"5","FLaSH 101 FMWT 2011-09-14 715 1610",55,1.1741,9,2011,"Lower",0,0,0,0,0,18,1.5,3,6.72,0.28,611.8,1.15,10.23,0,0
"6","FLaSH 107 FMWT 2011-09-14 715 1577",57,1.8459,9,2011,"Lower",10.68,0,0,0,0,111,0,2.2,3.36,1,736.82,5.75,0,0,0
"7","FLaSH 107 FMWT 2011-09-14 715 1577",NA,NA,9,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,14.7542150163864,0
"8","FLaSH 172 FMWT 2011-11-21 719 2974",54,1.4755,11,2011,"Lower",0,0,0,0,0,0,0,0,26.88,0,252.7,4.6,150.04,0,0
"9","FLaSH 172 FMWT 2011-11-21 719 2974",NA,NA,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,3.56791867335117,630.823287083397
"10","FLaSH 173 FMWT 2011-11-21 719 2976",57,1.5756,11,2011,"Lower",0,0,0,0,0,0,0,0,0,1,156.94,5.75,68.2,0,0
"11","FLaSH 173 FMWT 2011-11-21 719 2976",NA,NA,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,1.57791581324621,442.825875803288
"12","FLaSH 174 FMWT 2011-11-21 719 2983",49,1.0009,11,2011,"Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
