"Year","Month","Region","Database","LogNumber","Project","Date","Station","SerialNumber","SurfaceTemperature","SurfaceConductivity","SurfacePPT","Secchi","Turbidity","ForkLength","TotalBodyWeight","GutContents","acartela","allcopnaup","daphnia","eurytem","limno","othcalad","othcaljuv","othclad","othcyc","other","pdiapfor","pdiapjuv","sino","amphipod","mysids","SampleID"
2011,8,"Middle","FLaSH",44,"STN",2011-08-23,"797","1487",25.5,629,0.29,27,35.9,52,0.9798,"Y",0,37.1,0,0,0.91,15,0,0,0,5.28,58.52,18.4,6.82,0,0,"FLaSH 44 STN 2011-08-23 797 1487"
2011,8,"Middle","FLaSH",48,"STN",2011-08-23,"797","1484",25.5,629,0.29,27,35.9,38,0.3698,"Y",0,7.24,0,0,0.39,30,0,2,6.56,11,29.26,2.3,0,0,0,"FLaSH 48 STN 2011-08-23 797 1484"
2011,8,"Middle","FLaSH",51,"STN",2011-08-23,"797","1486",25.5,629,0.29,27,35.9,46,0.7189,"Y",0,1.1,0,0,0.38,3,0,0.6,0,8,55.86,1.15,0,0,0,"FLaSH 51 STN 2011-08-23 797 1486"
2011,8,"Middle","FLaSH",68,"STN",2011-08-23,"797","1485",25.5,629,0.29,27,35.9,48,0.9053,"Y",0,0,0,0,0,0,0,1,0,4,85.12,6.9,10.23,0,0,"FLaSH 68 STN 2011-08-23 797 1485"
2011,9,"Lower","FLaSH",101,"FMWT",2011-09-14,"715","1610",21.2,173,0.07,52,39.4,55,1.1741,"Y",0,0,0,0,0,18,1.5,3,6.72,0.28,611.8,1.15,10.23,0,0,"FLaSH 101 FMWT 2011-09-14 715 1610"
2011,9,"Lower","FLaSH",107,"FMWT",2011-09-14,"715","1577",21.2,173,0.07,52,39.4,57,1.8459,"Y",10.68,0,0,0,0,111,0,2.2,3.36,1,736.82,5.75,0,0.36885537540966,0,"FLaSH 107 FMWT 2011-09-14 715 1577"
2011,11,"Lower","FLaSH",172,"FMWT",2011-11-21,"719","2974",12.6,365,0.16,21,54.2,54,1.4755,"Y",0,0,0,0,0,0,0,0,26.88,0,252.7,4.6,150.04,0.0891979668337793,13.8435226362572,"FLaSH 172 FMWT 2011-11-21 719 2974"
2011,11,"Lower","FLaSH",173,"FMWT",2011-11-21,"719","2976",12.6,365,0.16,21,54.2,57,1.5756,"Y",0,0,0,0,0,0,0,0,0,1,156.94,5.75,68.2,0.0394478953311552,8.90223696624742,"FLaSH 173 FMWT 2011-11-21 719 2976"
2011,11,"Lower","FLaSH",174,"FMWT",2011-11-21,"719","2983",12.6,365,0.16,21,54.2,49,1.0009,"Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998526933106636,"FLaSH 174 FMWT 2011-11-21 719 2983"
2011,11,"Lower","FLaSH",175,"FMWT",2011-11-21,"719","2982",12.6,365,0.16,21,54.2,58,1.7473,"Y",0,0,0,0,0,0,0,0,3.36,0,7.98,1.15,13.64,0.0394478953311552,7.5377156355511,"FLaSH 175 FMWT 2011-11-21 719 2982"
2011,11,"Lower","FLaSH",178,"FMWT",2011-11-21,"719","2979",12.6,365,0.16,21,54.2,59,1.971,"Y",0,0,0,0,0,0,1.81,0,0,0,39.9,0,10.23,0,19.896478656343,"FLaSH 178 FMWT 2011-11-21 719 2979"
2011,11,"Lower","FLaSH",180,"FMWT",2011-11-21,"719","2980",12.6,365,0.16,21,54.2,56,1.6811,"Y",0,0,0,0,0,0,7.24,0,6.56,0,220.78,0,37.51,0.0788957906623103,0.278641985611917,"FLaSH 180 FMWT 2011-11-21 719 2980"
