"","Month","IBMR2","totcatch","totmass","Biomass_C","Year","IBMR","bpue","cpue"
"1",1,"allcopnaup",35198.7818590024,3519.87818590024,0.1,NA,NA,NA,NA
"2",1,"daphnia",11622.3172060506,46489.2688242026,4,NA,NA,NA,NA
"3",1,"eurytem",53.9166246393359,161.749873918008,3,NA,NA,NA,NA
"4",1,"limno",24974.7985485695,3246.72381131404,0.13,NA,NA,NA,NA
"5",1,"othcalad",610.421778680523,2441.68711472209,4,NA,NA,NA,NA
"6",1,"othcaladjuv",29929.5519415946,44894.3279123918,1.5,NA,NA,NA,NA
"7",1,"othclad",23758.7527739524,14776.1088703145,0.62192275036062,NA,NA,NA,NA
"8",1,"othcyc",2246.92361800258,7549.66335648866,3.36,NA,NA,NA,NA
"9",1,"other",12917.755491937,3367.68728832235,0.260702200968612,NA,NA,NA,NA
"10",1,"pdiapfor",3566.12400538772,9485.88985433134,2.66,NA,NA,NA,NA
"11",1,"pdiapjuv",0,0,NA,NA,NA,NA,NA
"12",1,"sino",46266.5556053729,157768.954614322,3.41,NA,NA,NA,NA
"13",2,"allcopnaup",36172.2006429672,3617.22006429672,0.1,NA,NA,NA,NA
"14",2,"daphnia",6214.17532986295,24856.7013194518,4,NA,NA,NA,NA
"15",2,"eurytem",149.017242809181,447.051728427542,3,NA,NA,NA,NA
"16",2,"limno",9723.98322650754,1264.11781944598,0.13,NA,NA,NA,NA
"17",2,"othcalad",1196.87814622249,4787.51258488998,4,NA,NA,NA,NA
"18",2,"othcaladjuv",62634.4619433959,93951.6929150938,1.5,NA,NA,NA,NA
"19",2,"othclad",14790.3044651903,9791.48967004807,0.662020832166966,NA,NA,NA,NA
"20",2,"othcyc",1510.31791371117,5074.66819006952,3.36,NA,NA,NA,NA
"21",2,"other",2235.42616867414,685.83980555487,0.306804946262953,NA,NA,NA,NA
"22",2,"pdiapfor",2776.05973643723,7384.31889892303,2.66,NA,NA,NA,NA
"23",2,"pdiapjuv",0,0,NA,NA,NA,NA,NA
"24",2,"sino",36425.3965363356,124210.602188904,3.41,NA,NA,NA,NA
"25",3,"allcopnaup",92104.6732096737,9210.46732096737,0.1,NA,NA,NA,NA
"26",3,"daphnia",142397.50065033,569590.002601318,4,NA,NA,NA,NA
"27",3,"eurytem",2556.66360791982,7669.99082375946,3,NA,NA,NA,NA
"28",3,"limno",127282.018316332,16546.6623811232,0.13,NA,NA,NA,NA
"29",3,"othcalad",2375.92084646369,9485.85466882377,3.99249608123203,NA,NA,NA,NA
"30",3,"othcaladjuv",252305.85985341,378458.789780114,1.5,NA,NA,NA,NA
"31",3,"othclad",157022.005810796,97603.0080876472,0.621588086228209,NA,NA,NA,NA
"32",3,"othcyc",15998.2116554922,53753.9911624538,3.36,NA,NA,NA,NA
"33",3,"other",10262.9894120652,1831.93275849078,0.178498942650877,NA,NA,NA,NA
"34",3,"pdiapfor",5153.0748685783,13707.1791504183,2.66,NA,NA,NA,NA
"35",3,"pdiapjuv",236.37716,271.833734,1.15,NA,NA,NA,NA
"36",3,"sino",263617.726841141,898936.448528292,3.41,NA,NA,NA,NA
"37",4,"acartela",19.154025115,51.14124705705,2.67,NA,NA,NA,NA
"38",4,"allcopnaup",113264.742648222,11326.4742648222,0.1,NA,NA,NA,NA
"39",4,"daphnia",1051985.56949752,4207942.27799007,4,NA,NA,NA,NA
"40",4,"eurytem",34250.8121056923,102752.436317077,3,NA,NA,NA,NA
"41",4,"limno",186277.407441552,24216.0629674018,0.13,NA,NA,NA,NA
