"Year","Month","Region","MacroCategory","mean_length","mean_withest"
2011,9,"Lower","amphipod",1.3,1.3
2011,11,"Lower","amphipod",1.10833333333333,1.10625
2011,11,"Lower","mysids",5.08,4.87352941176471
2011,11,"Middle","mysids",4.44,4.740625
2011,12,"Lower","amphipod",1.1375,1.13333333333333
2011,12,"Middle","mysids",5.8,5.95
2012,1,"Lower","amphipod",1.4375,1.41538461538462
2012,2,"Lower","amphipod",1,1
2012,3,"Lower","amphipod",1.57027027027027,1.72131147540984
2012,3,"Lower","fish",4.23333333333333,5.90344827586207
2012,4,"Lower","amphipod",1.98333333333333,2.11818181818182
2012,5,"Lower","amphipod",2.13333333333333,1.85
2012,6,"Middle","amphipod",1.46666666666667,1.46666666666667
2012,6,"Middle","fish",2.4,2.4
2012,6,"Middle","mysids",1.53333333333333,1.525
2012,8,"Middle","amphipod",1.3,1.3
2012,8,"Middle","mysids",1.65,1.8
2012,10,"Middle","mysids",5.56,5.40666666666667
2012,11,"Lower","amphipod",0.9,0.9
2012,11,"Lower","mysids",4,4
2012,11,"Middle","amphipod",1.6,1.6
2012,11,"Middle","mysids",1.5,1.5
2012,12,"Lower","amphipod",3.175,3.175
2012,12,"Middle","amphipod",1.45,1.45
2013,1,"Lower","amphipod",2.95333333333333,3.05714285714286
2013,2,"Lower","amphipod",2.76666666666667,2.76666666666667
2013,3,"Lower","amphipod",1.8,1.8
2013,4,"Lower","amphipod",1.3,1.3
2013,7,"Lower","mysids",1.5,1.72857142857143
2013,8,"Lower","mysids",1.4,1.4
2013,11,"Middle","amphipod",1.1,1.1
2014,1,"Lower","amphipod",3.45,3.77272727272727
2014,2,"Lower","amphipod",3.35,3.35
2014,2,"Lower","fish",5.85,5.9
2014,3,"Lower","amphipod",1.9551724137931,2.052
2014,4,"Lower","amphipod",2.6,2.66666666666667
2014,4,"Lower","isopods",1.46666666666667,1.46666666666667
2014,5,"Lower","amphipod",1.36666666666667,1.41111111111111
2014,7,"Lower","mysids",1.8,1.8
2014,8,"Middle","mysids",2.3,2.3
2014,12,"Lower","amphipod",1.99,1.99
2014,12,"Middle","amphipod",1.3,1.3
2015,1,"Lower","amphipod",1.5,1.5
2015,3,"Lower","amphipod",1.9,2.18
2015,5,"Lower","amphipod",1.05,1.05
2015,6,"Lower","amphipod",1.2,1.2
2015,7,"Lower","amphipod",1.3375,1.315
2015,10,"Middle","amphipod",1.2,1.2
2016,1,"Lower","amphipod",3.32727272727273,3.35384615384615
2016,2,"Lower","amphipod",2.76666666666667,2.6
2016,3,"Lower","amphipod",1.95,1.95
2016,4,"Lower","amphipod",3.86666666666667,3.7
2017,1,"Lower","amphipod",4,4.075
2017,2,"Lower","fish",6.22,6.23846153846154
2017,3,"Lower","fish",4.32857142857143,4.3
2017,4,"Lower","amphipod",2.13333333333333,2.13333333333333
2018,7,"Middle","mysids",1.52,1.51428571428571
2018,8,"Lower","mysids",1.5,1.4
2018,8,"Middle","mysids",5.7,4.13333333333333
2018,9,"Lower","mysids",1.77,2.456
2018,9,"Middle","mysids",1.3,1.35
2018,10,"Middle","amphipod",1.15,1.76666666666667
2018,10,"Middle","mysids",1.5,2.5125
2019,5,"Middle","fish",2.6,2.6
2019,7,"Lower","mysids",2.57857142857143,2.80666666666667
2019,7,"Middle","amphipod",1.1,2.3
2019,7,"Middle","mysids",1.8,1.9
2019,8,"Middle","amphipod",4,4
2019,9,"Lower","mysids",2,2
2020,7,"Lower","amphipod",1.8,1.8
2020,7,"Lower","mysids",5.5,5.5
2020,7,"Middle","amphipod",1.5,1.5
2022,1,"Lower","amphipod",2.925,2.925
2022,2,"Lower","amphipod",1.7,1.7
2011,12,"Lower","mysids",NA,7.7
2012,4,"Lower","fish",NA,6.9
2012,5,"Lower","mysids",NA,1.9
2012,10,"Lower","mysids",NA,6.1
2014,5,"Lower","mysids",NA,4.3
2014,6,"Lower","mysids",NA,2.95
2014,6,"Middle","mysids",NA,3.1
2014,12,"Middle","mysids",NA,3
2015,2,"Lower","amphipod",NA,2.6
2017,2,"Lower","amphipod",NA,4
2017,8,"Middle","mysids",NA,1
2018,7,"Lower","amphipod",NA,1.8
2018,7,"Lower","mysids",NA,1.5
2018,9,"Lower","amphipod",NA,2.7
2018,11,"Middle","mysids",NA,1.8
2019,6,"Lower","mysids",NA,1.8
2019,7,"Lower","fish",NA,13
2019,10,"Lower","mysids",NA,3.8
2021,5,"Middle","amphipod",NA,1.5
2022,3,"Middle","amphipod",NA,3.5
2022,3,"Middle","fish",NA,3.1
2022,8,"Middle","mysids",NA,1
