"","Region","TowType","IBMR","BPUE"
"1","Lower","Bottom","acartela",20.552903249256
"2","Lower","Bottom","allcopnaup",35.1725698680265
"3","Lower","Bottom","daphnia",138.489380701882
"4","Lower","Bottom","eurytem",24.4854803452517
"5","Lower","Bottom","limno",35.88034328297
"6","Lower","Bottom","othcalad",48.7684066523486
"7","Lower","Bottom","othcaladjuv",358.986428028758
"8","Lower","Bottom","othclad",266.351726851515
"9","Lower","Bottom","othcyc",83.9515535245296
"10","Lower","Bottom","other",4.57753426944142
"11","Lower","Bottom","pdiapfor",4769.72308755484
"12","Lower","Bottom","pdiapjuv",3100.26948343014
"13","Lower","Bottom","sino",1323.39086446063
"14","Lower","Surface","acartela",5.24214626855703
"15","Lower","Surface","allcopnaup",34.9189370912278
"16","Lower","Surface","daphnia",97.0320744315461
"17","Lower","Surface","eurytem",28.2316552196895
"18","Lower","Surface","limno",21.4122500360461
"19","Lower","Surface","othcalad",4.49265676504877
"20","Lower","Surface","othcaladjuv",149.051005902094
"21","Lower","Surface","othclad",143.683507393919
"22","Lower","Surface","othcyc",49.1422247766524
"23","Lower","Surface","other",5.15156044039314
"24","Lower","Surface","pdiapfor",692.799113323874
"25","Lower","Surface","pdiapjuv",1732.49630995314
"26","Lower","Surface","sino",207.089516007082
"27","Middle","Bottom","acartela",1.23209560856475
"28","Middle","Bottom","allcopnaup",31.625775456008
"29","Middle","Bottom","daphnia",175.036214751157
"30","Middle","Bottom","eurytem",21.3593314476786
"31","Middle","Bottom","limno",62.2075393273247
"32","Middle","Bottom","othcalad",398.213099446024
"33","Middle","Bottom","othcaladjuv",2156.14319287457
"34","Middle","Bottom","othclad",1458.2127281854
"35","Middle","Bottom","othcyc",102.541376580674
"36","Middle","Bottom","other",5.89886592156248
"37","Middle","Bottom","pdiapfor",7423.60786955298
"38","Middle","Bottom","pdiapjuv",4065.96067411699
"39","Middle","Bottom","sino",6504.48463443187
"40","Middle","Surface","acartela",1.63156363132883
"41","Middle","Surface","allcopnaup",46.3032389560707
"42","Middle","Surface","daphnia",33.3875813436905
"43","Middle","Surface","eurytem",16.6666313304804
"44","Middle","Surface","limno",70.3562188183437
"45","Middle","Surface","othcalad",50.1881781976471
"46","Middle","Surface","othcaladjuv",589.530017560757
"47","Middle","Surface","othclad",524.594793332472
"48","Middle","Surface","othcyc",45.6421196757686
"49","Middle","Surface","other",4.28189414409847
"50","Middle","Surface","pdiapfor",546.649206331222
"51","Middle","Surface","pdiapjuv",1179.59231739996
"52","Middle","Surface","sino",964.617699025684
"53","Top","Bottom","acartela",5.3791339184359
"54","Top","Bottom","allcopnaup",33.3119947930342
"55","Top","Bottom","daphnia",17351.6338425308
"56","Top","Bottom","eurytem",36.1724934374859
"57","Top","Bottom","limno",77.5719370796235
"58","Top","Bottom","othcalad",2800.24215464239
"59","Top","Bottom","othcaladjuv",4156.94237940238
"60","Top","Bottom","othclad",5632.76601774663
"61","Top","Bottom","othcyc",376.415569669515
"62","Top","Bottom","other",37.7123659212239
"63","Top","Bottom","pdiapfor",3822.81373316783
"64","Top","Bottom","pdiapjuv",5320.16100103756
"65","Top","Bottom","sino",7089.01578901478
"66","Top","Surface","acartela",7.20238707627566
"67","Top","Surface","allcopnaup",42.5339717881492
"68","Top","Surface","daphnia",68608.5355544919
"69","Top","Surface","eurytem",4.29358154945639
"70","Top","Surface","limno",73.9128544554236
"71","Top","Surface","othcalad",296.149662636
"72","Top","Surface","othcaladjuv",1664.66163800764
"73","Top","Surface","othclad",4774.47868551829
"74","Top","Surface","othcyc",74.6024426111952
"75","Top","Surface","other",117.543249809062
"76","Top","Surface","pdiapfor",530.756978644992
"77","Top","Surface","pdiapjuv",1891.44005003678
"78","Top","Surface","sino",2149.22274907646
