"Year","Month","latitude","longitude","Database","LogNumber","Project","Date","Station","SerialNumber","SampleID","Species","Depth","SurfaceTemperature","SurfaceConductivity","SurfacePPT","Secchi","Turbidity","ForkLength","TotalBodyWeight","Acanthocyclops spp","Acartia spp","Acartia copepodid","Acartiella sinensis","Acartiella copepodid","Barnacle nauplii","Bosmina spp","Ceriodaphnia spp","Calanoid copepodid","Chironomid larvae","Clams","Copepod nauplii","Corophium type","Crab megalope","Crab zoea","Cumaceans","Cyclopoid copepodid","Daphnia spp","Diaphanosoma spp","Diaptomus spp","Diaptomus copepodid","Eurytemora spp","Eurytemora copepodid","Eurytemora nauplii","Fish eggs","Gammarus type","Harpacticoids","Hyperacanthomysis longirostris","Isopods","Limnoithona spp","Limnoithona copepodid","Longfin Smelt","Neomysis kadiakensis","Neomysis mercedis","Oithona davisae","Oithona copepodid","Osphranticum","Ostracods","Other calanoid","Other cladocera","Other cyclopoid","Other insect larvae","Other malacostraca","Other zooplankton","Pacific Herring","Palaemon","Prickly Sculpin","Pseudodiaptomus forbesi","Pseudodiaptomus marinus","Pseudodiaptomus spp","Pseudodiaptomus copepodid","Pseudodiaptomus nauplii","Sinocalanus spp","Sinocalanus copepodid","Sinocalanus nauplii","Synchaeta","Terrestrial invertebrates","Tortanus dextrilobatus","Tortanus spp","Tortanus copepodid","Tridentiger spp","Unid amphipod","Unid calanoid","Unid cladocera","Unid copepod","Unid cyclopoid","Unid fish","Unid mysids","Nippoleucon hinumensis","Region"
2017,8,38.33262062,-121.6473389,"DOP",1,"EDSM",2017-08-10,"18-02-CS01","1","DOP 1 EDSM 2017-08-10 18-02-CS01 1","delta smelt",NA,22.89999962,246,0.105660738069108,50,21.20000076,42,0.386,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"Lower"
2017,8,38.38728046,-121.6234417,"DOP",2,"EDSM",2017-08-15,"18-03-SSC02","2","DOP 2 EDSM 2017-08-15 18-03-SSC02 2","delta smelt",NA,22.79999924,418.7999878,0.186730468025463,28.0000001,39.70000076,52,0.7533,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,2,0,8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"Middle"
2017,8,38.39557076,-121.6189995,"DOP",4,"EDSM",2017-08-22,"18-04-SSC02","4","DOP 4 EDSM 2017-08-22 18-04-SSC02 4","delta smelt",NA,22.89999962,1420,0.690172864934533,30.0000012,56.29999924,47,0.5043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,7,38.39557012,-121.6192754,"DOP",98,"EDSM",2018-07-05,"18-49-LSSC03","65","DOP 98 EDSM 2018-07-05 18-49-LSSC03 65","delta smelt",2.6,22.39999962,507,0.229115947913498,34.0000004,38.29999924,35,0.3533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Middle"
2018,7,38.39557012,-121.6192754,"DOP",99,"EDSM",2018-07-05,"18-49-LSSC03","66","DOP 99 EDSM 2018-07-05 18-49-LSSC03 66","delta smelt",10,22,515,0.232987791178343,31.9999993,40.20000076,42,0.4281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,7,38.39557012,-121.6192754,"DOP",100,"EDSM",2018-07-05,"18-49-LSSC03","67","DOP 100 EDSM 2018-07-05 18-49-LSSC03 67","delta smelt",10,22,515,0.232987791178343,31.9999993,40.20000076,43,0.4901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,7,38.39557012,-121.6192754,"DOP",97,"EDSM",2018-07-05,"18-49-LSSC03","64","DOP 97 EDSM 2018-07-05 18-49-LSSC03 64","delta smelt",2.6,22.39999962,507,0.229115947913498,34.0000004,38.29999924,44,0.4786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
2018,7,38.42452113,-121.6063894,"DOP",101,"EDSM",2018-07-09,"18-50-LSSC01","68","DOP 101 EDSM 2018-07-09 18-50-LSSC01 68","delta smelt",9.6,22.79999924,690,0.318658897235948,31.0000002,39.20000076,44,0.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"Middle"
2018,7,38.42452113,-121.6063894,"DOP",133,"EDSM",2018-07-09,"18-50-LSSC01","150","DOP 133 EDSM 2018-07-09 18-50-LSSC01 150","delta smelt",9.5,22.79999924,681,0.314211384184789,36.0000014,36.59999847,49,1.1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Middle"
2018,7,38.44597435,-121.5961647,"DOP",102,"EDSM",2018-07-18,"18-51-LSSC01","69","DOP 102 EDSM 2018-07-18 18-51-LSSC01 69","delta smelt",11.18,23.70000076,683,0.315199361444875,23.9999995,44.29999924,46,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Middle"
